Particulars,Voucher Type
RB2140 901/58 50,Others
ME 12 OD (15 TAB),Pharma
COTTON 35 GM,Pharma
LIVEASY BAND AID WATERPROOF,Pharma
CIPZOX (6 TAB),Pharma
CHESTON COLD ( 10 TAB),Pharma
GATSBY HAIR GEL ( 30GM ),Pharma
CANDID B CREAM (20GM),Pharma
DABUR AVIPATTIKAR CHURNA (60GM),Pharma
BECOSULES (20 CAP),Pharma
DETTOL POWDER HANDWASH 8GM,Pharma
INTAGESIC-MR (10 TAB),Pharma
PARODONTAX GUM CARE TOOTHPASTE (75GM),Pharma
NICIP TAB ( 10 TAB),Pharma
FML E/D (5ML),Pharma
TELMA AM (15 TAB),Pharma
TELPRES 20MG (15 TAB),Pharma
AMLOPRES 5MG (30 TAB),Pharma
SYSTANE ULTRA E/D (10ML),Pharma
Dabur HINGOLI SACHET,Pharma
KAMA SUTRA DEO (SPARK) 220 ML,Pharma
SENSODYNE RAPID RELIEF (80GM),Pharma
SENSODYNE BRUSH PACK 3 (MRP 220),Pharma
HAJMOLA CANDY,Pharma
CIPMOX 250MG (15 CAP),Pharma
CIPZEN D (10 TAB),Pharma
KEROSITE DT( 10 TAB),Pharma
MOVEXX SP (10TAB),Pharma
MECOFOL PLUS NF (10 CAP),Pharma
GLIMDA 1 MG (10 TAB),Pharma
MINOLAST- LC (10TAB),Pharma
DOLO 650 (15TAB),Pharma
TORGLIP M 50/500 (10 TAB),Pharma
MONTEWOK-LC (10 TAB),Pharma
HANSAPLAST REGULAR BAND AID,Pharma
WHISPER CHOICE XL 6NOS,Pharma
ACETONE (100ML),Pharma
REFRESH TEARS E/D (10ML),Pharma
HIPRES 50MG (14 TAB),Pharma
SAT ISABGOL TEL. 50 GM,Pharma
BETNESOL TAB ( 20 TAB),Pharma
PEPSODENT SOFT BRUSH RS 20,Pharma
PEPSODENT TOOTHPASTE (17GM),Pharma
NATURAL MINI WATER 200ML,Pharma
COMBIFLAM (20 TAB),Pharma
ORBIT,Pharma
VICKS INHALER 0.5 ML,Pharma
GLYCOMET GP 1 (15 TAB),Pharma
SUPRADYN DAILY (15TAB),Pharma
SPASMONIL PLUS (10TAB),Pharma
PILTOP DSR ( 10 CAP),Pharma
IMDUR 30MG (30 TAB),Pharma
I SITE AF (10 CAP),Pharma
I SITE PLUS (10 TAB),Pharma
SHELCAL HD (15 TAB),Pharma
CIPCAL D3 SACHET,Pharma
OKACET (10TAB),Pharma
EYEMIST E/D (10ML),Pharma
NIVEA ROLL ON (50ML),Pharma
ORASORE (10 TAB),Pharma
GAS O FAST ACTIVE JEERA POWDER 5 GM,Pharma
AMLONG 5MG (30TAB),Pharma
ECOSPRIN 75MG (14 TAB),Pharma
HAJMOLA SACHET,Pharma
NEOPRESS AM (10 TAB),Pharma
TRITELSAR 40MG (10 TAB),Pharma
CTD 6.25MG (15 TAB),Pharma
NEBILONG  AM (15 TAB),Pharma
ZANDU ROLL-ON  9ML,Pharma
ORS PROLYTE ORANGE (200ML),Pharma
VENPRES-M 50 (10 TAB),Pharma
SARIDON (10TAB),Pharma
OLOX OZ  (10TAB),Pharma
MAHAFLOX KT E/D (5ML),Pharma
SARIDON ADVANCE  TAB,Pharma
WYSOLONE DT 5 (15 TAB),Pharma
AZORAN 50 MG (20 TAB),Pharma
ABSOLUT WOMAN (10 CAP),Pharma
HCQS 300MG (10 TAB),Pharma
WHISPER ULTRA SOFT AIR FRESH XL+ 30 NOS,Pharma
THYRONORM 37.5 MCG (120 TAB),Pharma
ZANDU ULTRA POWER BALM (8ML),Pharma
CLEARWAX EAR DROPS (10ML),Pharma
AZEE 500MG (3 TAB),Pharma
SENSODYNE SENSITIVE BRUSH PACK 3 (MRP 130),Pharma
MULTIPREX SYRUP (200ML),Pharma
ENO SACHET MRP 10 (5GM),Pharma
MECOFOL (10 TAB),Pharma
PARACIP 500MG (10TAB),Pharma
THYRONORM 88 MCG (120 TAB),Pharma
OLMARK 40MG (15 TAB),Pharma
GLYCOMET 1GM (15 TAB),Pharma
CROCIN PAIN RELIEF (15TAB),Pharma
KIDRICH D3 DROPS (15ML),Pharma
UNWANTED 72 TAB 1 NOS,Pharma
CIPCAL 500 (15 TAB),Pharma
FENAK PLUS (10TAB),Pharma
TAZLOC BETA 25 (10 TAB),Pharma
RABESEC DSR (10CAP),Pharma
OMESEC 20MG (10 CAP),Pharma
NAXDOM 500MG (15 TAB),Pharma
SENSUR OIL ROLL ON (10ML),Pharma
AGINAL AT (15 TAB),Pharma
ZEE BEE SYRUP (10ML),Pharma
PONDS BODY LOTION 275 ML,Pharma
